Filename,VST,CEFR,CEFR_Number
W_CHN_177.txt,36,B1_2,3
W_KOR_257.txt,42,B2_0,4
W_JPN_024.txt,33,B1_1,2
W_CHN_162.txt,33,B1_1,2
W_THA_006.txt,43,B1_2,3
W_THA_012.txt,14,A2_0,1
W_SIN_193.txt,46,B1_2,3
W_SIN_187.txt,46,B1_2,3
W_JPN_226.txt,22,A2_0,1
W_SIN_178.txt,45,B1_2,3
W_JPN_232.txt,27,B1_1,2
W_TWN_118.txt,40,B2_0,4
W_JPN_391.txt,20,A2_0,1
W_JPN_385.txt,20,B1_1,2
W_TWN_124.txt,44,B2_0,4
W_THA_358.txt,20,A2_0,1
W_THA_370.txt,36,B1_2,3
W_THA_364.txt,24,A2_0,1
W_CHN_228.txt,43,B2_0,4
W_CHN_016.txt,39,B1_2,3
W_THA_172.txt,36,B1_2,3
W_JPN_178.txt,24,B1_1,2
W_THA_164.txt,13,A2_0,1
W_HKG_097.txt,30,B1_1,2
W_JPN_146.txt,31,A2_0,1
W_CHN_014.txt,39,B1_2,3
W_THA_366.txt,27,B1_1,2
W_JPN_344.txt,35,A2_0,1
W_JPN_393.txt,20,A2_0,1
W_IDN_161.txt,38,B2_0,4
W_JPN_387.txt,20,A2_0,1
W_JPN_218.txt,28,B1_2,3
W_SIN_152.txt,46,B1_2,3
W_SIN_191.txt,44,B1_2,3
W_SIN_185.txt,47,B2_0,4
W_KOR_056.txt,37,B2_0,4
W_IDN_001.txt,33,B1_1,2
W_CHN_174.txt,35,B1_1,2
W_JPN_026.txt,35,B1_1,2
W_JPN_032.txt,36,B1_1,2
W_CHN_160.txt,35,B2_0,4
W_KOR_240.txt,40,B2_0,4
W_KOR_282.txt,40,B2_0,4
W_KOR_057.txt,42,B2_0,4
W_SIN_190.txt,44,B1_2,3
W_JPN_225.txt,21,B1_1,2
W_JPN_386.txt,23,B1_1,2
W_JPN_392.txt,22,B1_1,2
W_JPN_351.txt,25,B1_1,2
W_SIN_033.txt,43,B1_2,3
W_SIN_027.txt,44,B1_2,3
W_JPN_184.txt,18,A2_0,1
W_CHN_001.txt,30,B1_1,2
W_THA_165.txt,24,A2_0,1
W_CHN_029.txt,28,B1_1,2
W_THA_171.txt,39,B1_2,3
W_THA_149.txt,26,B1_1,2
W_HKG_045.txt,39,B2_0,4
W_JPN_341.txt,24,B1_1,2
W_THA_377.txt,35,B1_1,2
W_SIN_037.txt,47,B2_0,4
W_KOR_127.txt,43,B2_0,4
W_JPN_396.txt,20,A2_0,1
W_JPN_235.txt,21,B1_1,2
W_THA_217.txt,46,B1_2,3
W_THA_029.txt,38,B1_2,3
W_THA_015.txt,45,B1_2,3
W_KOR_245.txt,44,B2_0,4
W_KOR_244.txt,44,B2_0,4
W_CHN_158.txt,44,B1_2,3
W_KOR_287.txt,32,B2_0,4
W_CHN_164.txt,30,B1_1,2
W_KOR_046.txt,41,A2_0,1
W_TWN_081.txt,31,B1_2,3
W_JPN_397.txt,22,B1_1,2
W_THA_389.txt,35,B1_1,2
W_SIN_036.txt,45,B1_2,3
W_THA_376.txt,38,B1_2,3
W_JPN_181.txt,24,A2_0,1
W_JPN_195.txt,30,B1_1,2
W_THA_160.txt,31,B1_1,2
W_THA_174.txt,14,A2_0,1
W_CHN_010.txt,33,B1_1,2
W_JPN_142.txt,33,B1_1,2
W_THA_148.txt,33,B1_1,2
W_CHN_012.txt,35,B1_1,2
W_JPN_168.txt,21,B1_2,3
W_JPN_183.txt,22,A2_0,1
W_THA_348.txt,33,B1_1,2
W_SIN_034.txt,45,B1_2,3
W_THA_360.txt,46,B1_2,3
W_SIN_020.txt,44,B1_2,3
W_KOR_130.txt,45,B1_2,3
W_JPN_381.txt,20,A2_0,1
W_IDN_167.txt,44,A2_0,1
W_TWN_120.txt,38,B2_0,4
W_THA_228.txt,36,B1_2,3
W_SIN_168.txt,47,B2_0,4
W_TWN_097.txt,40,B1_2,3
W_TWN_068.txt,39,B2_0,4
W_KOR_078.txt,35,B1_1,2
W_SIN_183.txt,47,B2_0,4
W_KOR_285.txt,46,B2_0,4
W_KOR_247.txt,43,B2_0,4
W_JPN_009.txt,35,B2_0,4
W_JPN_021.txt,25,B1_2,3
W_SIN_196.txt,43,B1_2,3
W_KOR_079.txt,38,B2_0,4
W_TWN_041.txt,21,A2_0,1
W_THA_201.txt,36,B1_2,3
W_JPN_223.txt,22,B1_1,2
W_SIN_035.txt,47,B2_0,4
W_THA_349.txt,14,A2_0,1
W_JPN_357.txt,24,A2_0,1
W_JPN_343.txt,27,A2_0,1
W_THA_177.txt,25,B1_1,2
W_THA_163.txt,12,A2_0,1
W_CHN_013.txt,39,B1_2,3
