filename,Country,VST,CEFR,CEFR_Number,SUBTLEXus_Freq_Log_CW_TAALES,COCA_magazine_lemma_frequency_Log_CW_TAALES,All_AWL_Normed_TAALES,Brysbaert_Concreteness_Combined_CW_TAALES,LD_Mean_RT_CW_TAALES,mattr50_aw_TAALED,mattr50_cw_TAALED,av_nominal_deps_TAASSC,amod_all_nominal_deps_struct_TAASSC,prep_all_nominal_deps_struct_TAASSC,mag_av_delta_p_verb_cue_type_TAASSC,MLC_TAASSC,CN_C_TAASSC
W_IDN_191.txt,IDN,40,A2_0,1,4.068242291,2.626748051,0.0430839,3.286872247,598.4489868,0.674824798,0.635890411,0.935064935,0.116883117,0.103896104,0.013138596,7.620689655,0.931034483
W_JPN_363.txt,JPN,21,A2_0,1,3.803255066,2.387938549,0.034965035,3.224229075,610.1756696,0.707089337,0.629068323,1.023622047,0.149606299,0.125984252,0.032650408,7.763636364,0.963636364
W_SIN_015.txt,SIN,45,B1_2,3,3.552722556,2.358176655,0.069662921,2.942099237,631.2969697,0.788882834,0.799021739,1,0.28358209,0.126865672,0.030113427,8.557692308,1.211538462
W_SIN_001.txt,SIN,45,B1_2,3,3.445627465,2.196004292,0.080586081,3.031241135,635.3170397,0.732991803,0.689636364,1.253246753,0.207792208,0.181818182,0.012349565,9.448275862,1.120689655
W_THA_235.txt,THA,37,B1_2,3,3.831560976,2.481897133,0.029213483,3.094878049,618.6496748,0.733146067,0.716959064,1.028571429,0.235714286,0.157142857,0.025034153,8.9,1.18
W_CHN_191.txt,CHN,26,B1_1,2,3.800894628,2.469355157,0.042372881,2.98846473,621.802438,0.759173127,0.766783626,1.007575758,0.212121212,0.143939394,0.037216856,8.905660377,1.037735849
W_JPN_014.txt,JPN,37,B1_1,2,3.886618367,2.481679219,0.038,3.031497976,617.126898,0.740246914,0.685649718,0.778481013,0.113924051,0.14556962,0.020800535,7.936507937,0.936507937
W_SIN_174.txt,SIN,47,B2_0,4,3.385816529,2.223265163,0.071278826,2.966708333,634.1528511,0.804790123,0.888220859,1.264705882,0.183823529,0.176470588,0.018463614,10.66666667,1.2
W_THA_234.txt,THA,44,B1_2,3,3.945204887,2.549384282,0.04233871,3.031520913,615.6118561,0.733578947,0.744936709,0.832214765,0.120805369,0.154362416,0.028270392,8.266666667,0.9
W_SIN_148.txt,SIN,47,B2_0,4,3.693093534,2.384740114,0.048565121,2.81826087,636.1545455,0.780837696,0.80212766,1.080645161,0.177419355,0.177419355,0.034352659,10.80952381,1.142857143
W_JPN_216.txt,JPN,31,B1_2,3,3.701041803,2.35823423,0.026748971,3.110562249,622.1120165,0.811734694,0.822893082,0.895104895,0.167832168,0.13986014,0.030821498,10.38297872,1
W_TWN_100.txt,TWN,37,B1_2,3,3.767,2.387065945,0.039506173,3.036445498,616.4571698,0.779512195,0.754709677,0.911504425,0.194690265,0.07079646,0.033925142,9.666666667,0.928571429
W_KOR_138.txt,KOR,45,B2_0,4,3.776376325,2.493307148,0.050682261,3.11513986,615.7027798,0.728487805,0.740344828,0.773006135,0.110429448,0.110429448,0.021300507,8.290322581,0.774193548
W_THA_383.txt,THA,28,B1_1,2,3.945296564,2.476168162,0.04518664,3.113448276,614.8194138,0.679360731,0.611682243,0.823170732,0.256097561,0.091463415,0.021139538,9.142857143,1.214285714
W_THA_340.txt,THA,46,B1_2,3,3.882870996,2.463758272,0.060465116,3.170909091,620.4021304,0.725849582,0.761958042,1.01459854,0.087591241,0.167883212,0.024572008,12.28571429,1.228571429
W_JPN_376.txt,JPN,24,B1_1,2,3.825517695,2.428952594,0.037861915,3.128024691,616.9541494,0.791111111,0.779418605,0.826086957,0.166666667,0.101449275,0.037620929,8.98,0.96
W_THA_368.txt,THA,28,B1_1,2,3.877590377,2.492852503,0.038374718,2.86707113,628.3928033,0.750778098,0.800606061,0.924369748,0.176470588,0.159663866,0.020290591,8.203703704,0.907407407
W_THA_195.txt,THA,10,A2_0,1,4.009806478,2.54475305,0.023310023,3.074578313,615.6204472,0.774651163,0.794615385,0.774774775,0.081081081,0.135135135,0.011253586,9.75,0.795454545
W_THA_156.txt,THA,41,B1_2,3,4.165323605,2.656899101,0.028776978,3.024851064,604.3262771,0.722463343,0.675294118,0.867647059,0.227941176,0.080882353,0.021421886,8.510204082,1
W_CHN_026.txt,CHN,16,A2_0,1,3.837165351,2.482614259,0.023094688,3.084517544,620.5572368,0.686442577,0.650184049,1,0.106870229,0.122137405,0.015850282,8.326923077,0.826923077
W_THA_131.txt,THA,26,B1_1,2,4.212440611,2.656164566,0.018306636,2.955042735,602.6107895,0.762099125,0.765076923,0.592592593,0.059259259,0.111111111,0.023144849,7.406779661,0.457627119
W_CHN_041.txt,CHN,15,A2_0,1,4.01652735,2.575282433,0.020689655,3.135798319,606.09375,0.733846154,0.668072289,0.896825397,0.246031746,0.103174603,0.021592636,8.264150943,1.018867925
W_JPN_113.txt,JPN,20,B1_1,2,3.98317026,2.559418339,0.015384615,2.966911765,614.6795113,0.762470309,0.790314465,0.586826347,0.083832335,0.107784431,0.009809292,7.878787879,0.712121212
W_HKG_015.txt,HKG,39,B2_0,4,3.561085821,2.356347542,0.070484581,3.128565891,624.8452734,0.698891967,0.712345679,1.182481752,0.167883212,0.160583942,0.024128608,10.80952381,1.142857143
W_CHN_082.txt,CHN,26,B1_1,2,3.786023077,2.451647209,0.051219512,3.015940171,610.7587069,0.769309309,0.743355705,0.911290323,0.25,0.096774194,0.008526204,8.541666667,0.958333333
W_JPN_339.txt,JPN,33,B1_1,2,3.856448606,2.499497565,0.036281179,3.260311284,607.3597992,0.690705882,0.647100592,0.802721088,0.156462585,0.095238095,0.026513916,7.875,0.875
W_JPN_311.txt,JPN,28,A2_0,1,3.850848511,2.394587965,0.047029703,3.065964912,614.166087,0.738113208,0.73337931,0.868217054,0.19379845,0.170542636,0.028981813,8.244897959,0.897959184
W_KOR_177.txt,KOR,46,B2_0,4,3.937265138,2.560739025,0.038369305,2.925251142,614.3736449,0.759212121,0.731594203,1.040650407,0.154471545,0.073170732,0.020365894,7.06779661,0.779661017
W_SIN_098.txt,SIN,41,B1_2,3,3.680997744,2.388821107,0.042635659,3.23594697,620.665,0.732389791,0.764,1.24,0.146666667,0.24,0.017790399,10.48979592,1.040816327
