filename,Country,VST,CEFR,CEFR_Number,SUBTLEXus_Freq_Log_CW_TAALES,COCA_magazine_lemma_frequency_Log_CW_TAALES,All_AWL_Normed_TAALES,Brysbaert_Concreteness_Combined_CW_TAALES,LD_Mean_RT_CW_TAALES,mattr50_aw_TAALED,hdd42_aw_TAALED,mtld_original_aw
W_SIN_163.txt,SIN,45,B1_2,3,3.516337407,2.254993441,0.051330798,3.020674157,626.3289963,0.744391304,0.794505335,53.53880483
W_THA_237.txt,THA,44,B1_2,3,4.174339013,2.610502596,0.016746411,3.01454955,612.5325561,0.744911243,0.799762472,56.92616486
W_THA_223.txt,THA,44,B1_2,3,4.160969492,2.627935779,0.013392857,2.923373984,604.8426068,0.735689655,0.818043816,45.46318978
W_JPN_215.txt,JPN,21,B1_1,2,3.89467973,2.521987652,0.023201856,3.055619469,610.9468182,0.777463977,0.844715942,76.68851736
W_CHN_353.txt,CHN,38,B2_0,4,3.781923109,2.402536648,0.047311828,3.023744856,622.7320588,0.80112,0.84823831,88.14502924
W_KOR_113.txt,KOR,42,A2_0,1,3.672692887,2.392325667,0.032822757,2.914152542,618.1010593,0.736613757,0.798163588,55.00940783
W_THA_343.txt,THA,33,B1_1,2,4.149579508,2.629708724,0.017777778,3.003770492,605.3589256,0.728647215,0.794123725,51.45906971
W_THA_357.txt,THA,46,B1_2,3,3.940057244,2.525595698,0.025896414,3.020627178,617.7062633,0.730696517,0.811532237,57.35946892
W_IDN_193.txt,IDN,41,A2_0,1,3.547119331,2.333371224,0.057569296,3.234344569,625.5844615,0.742395833,0.82832911,57.625
W_HKG_071.txt,HKG,43,B1_2,3,3.676451737,2.438315221,0.04526749,3.10859375,619.4288095,0.749925187,0.81179355,61.76789635
W_HKG_065.txt,HKG,44,B2_0,4,3.521183214,2.295429235,0.062124248,2.949350181,632.9184559,0.771360382,0.828338473,66.14295298
W_THA_155.txt,THA,21,A2_0,1,4.140304651,2.678605652,0.022172949,3.010192308,606.2703488,0.785322581,0.835888359,69.12788841
W_JPN_163.txt,JPN,23,A2_0,1,4.016122917,2.524952844,0.028824834,3.122697095,607.2535,0.728858696,0.792297078,53.1722231
W_THA_169.txt,THA,22,A2_0,1,4.244863592,2.643331109,0.015,2.834417476,615.7269082,0.732176656,0.798867544,46.63194444
W_JPN_177.txt,JPN,29,B1_2,3,3.903689744,2.473731489,0.025821596,3.110210084,612.9542918,0.725443787,0.808899185,51.65254237
W_JPN_161.txt,JPN,21,A2_0,1,3.925030263,2.540041521,0.009174312,3.187914894,609.7060811,0.7336875,0.827574615,45.2746455
W_CHN_027.txt,CHN,28,B1_1,2,3.905665066,2.533357503,0.047281324,2.96995671,614.8627074,0.745823529,0.788965584,49.995002
W_JPN_175.txt,JPN,19,B1_1,2,3.784884071,2.39828368,0.035629454,3.15209607,615.1998206,0.772959502,0.822561347,54.07814408
W_THA_157.txt,THA,45,B1_2,3,3.712680137,2.423471732,0.056751468,3.118020478,619.4855208,0.748084112,0.820532656,53.07960571
W_JPN_149.txt,JPN,26,B1_1,2,3.924132245,2.491165511,0.028017241,2.972539683,613.0640417,0.801127596,0.840978627,74.33333333
W_IDN_191.txt,IDN,40,A2_0,1,4.068242291,2.626748051,0.0430839,3.286872247,598.4489868,0.674824798,0.762274377,39.27272727
W_JPN_363.txt,JPN,21,A2_0,1,3.803255066,2.387938549,0.034965035,3.224229075,610.1756696,0.707089337,0.790054671,47.03590531
W_SIN_015.txt,SIN,45,B1_2,3,3.552722556,2.358176655,0.069662921,2.942099237,631.2969697,0.788882834,0.851352664,92.96363636
W_SIN_001.txt,SIN,45,B1_2,3,3.445627465,2.196004292,0.080586081,3.031241135,635.3170397,0.732991803,0.792207976,55.86853253
W_THA_235.txt,THA,37,B1_2,3,3.831560976,2.481897133,0.029213483,3.094878049,618.6496748,0.733146067,0.805751797,49.77733618
W_CHN_191.txt,CHN,26,B1_1,2,3.800894628,2.469355157,0.042372881,2.98846473,621.802438,0.759173127,0.813548317,63.89814815
W_JPN_014.txt,JPN,37,B1_1,2,3.886618367,2.481679219,0.038,3.031497976,617.126898,0.740246914,0.803027885,56.12742341
W_SIN_174.txt,SIN,47,B2_0,4,3.385816529,2.223265163,0.071278826,2.966708333,634.1528511,0.804790123,0.828631698,77.98282443
W_THA_234.txt,THA,44,B1_2,3,3.945204887,2.549384282,0.04233871,3.031520913,615.6118561,0.733578947,0.813954706,57.14800017
W_SIN_148.txt,SIN,47,B2_0,4,3.693093534,2.384740114,0.048565121,2.81826087,636.1545455,0.780837696,0.818772923,79.02771379
W_JPN_216.txt,JPN,31,B1_2,3,3.701041803,2.35823423,0.026748971,3.110562249,622.1120165,0.811734694,0.852195047,88.8
